version
202
timestamp,L_value1,L_value2,L_value3,L_value4,R_value1,R_value2,R_value3,R_value4,COP_Left,COP_Right,COP_Front,COP_Back,COP_Left_Front,COP_Left_Back,COP_Right_Front,COP_Right_Back,L_ACC_X,L_ACC_Y,L_ACC_Z,R_ACC_X,R_ACC_Y,R_ACC_Z,L_value1_raw,L_value2_raw,L_value3_raw,L_value4_raw,R_value1_raw,R_value2_raw,R_value3_raw,R_value4_raw
5386.0,0,0,0,0,0,0,0,37,0,100,0,100,50,50,0,100,0,23,0,0,47,0,0,1,0,0,0,0,0,312
5416.0,0,0,0,0,0,0,0,100,0,100,0,100,50,50,0,100,0,0,0,0,71,0,0,0,1,0,0,0,0,687
5445.0,0,0,0,0,0,0,0,100,0,100,0,100,50,50,0,100,0,0,0,0,71,0,0,0,1,0,0,0,0,712
5476.0,0,0,0,0,0,0,0,97,0,100,0,100,50,50,0,100,0,0,0,50,58,0,0,0,1,0,0,0,0,617
5506.0,0,0,0,0,0,0,0,97,0,100,0,100,50,50,0,100,0,0,0,50,58,0,0,0,0,0,0,0,0,617
5536.0,0,0,0,0,0,0,0,79,0,100,0,100,50,50,0,100,0,0,0,0,247,0,0,0,0,0,1,0,0,528
5566.0,0,0,0,0,0,0,0,83,0,100,0,100,50,50,0,100,0,0,0,0,247,0,0,0,0,0,1,0,0,546
5596.0,0,0,0,0,0,0,0,83,0,100,0,100,50,50,0,100,0,0,0,0,247,0,1,0,0,0,1,0,0,547
5626.0,0,0,0,0,0,0,0,83,0,100,0,100,50,50,0,100,0,0,0,0,247,0,0,1,0,0,1,0,0,547
5655.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,2,12,0,2,0,0,0,0,0,0,92
5686.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,2,12,0,2,0,0,0,0,0,0,92
5716.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,5,0,2,12,0,0,0,0,0,0,0,0,92
5746.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,5,0,0,59,0,0,0,0,0,0,0,0,8
5776.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,5,0,0,38,0,0,0,0,0,0,0,0,5
5806.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,19,0,0,0,0,6,0,0,0,4
5836.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,5,0,0,0,0,0,0,0,38,0,0,0,4
5865.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,0,0,1,1,0,112,0,0,0,4
